Forced Category,DENK: strategie en doelen,ORGANISEER: ,quadrant,ring,status,"Label
",File Path,Section 1 # Titel,Section 2## Wat wordt hiermee bedoeld?,Section 3 ## Hoe staan we ervoor?,Section 4 ## Waar kan ik hier meer over lezen?,label,link,Section 5,Section 6,Section 7,Section 8,Category,New Category
Innovatie & Optimalisatie,,,2,3,0,"Backups
",C:\Users\jelle\Downloads\wiki\backups.md,"# Backups
","## Wat wordt hiermee bedoeld?
Backups spelen een cruciale rol in het beschermen van data, maar ze hebben ook impact op duurzaamheid. Backups vereisen namelijk extra opslagruimte, wat direct leidt tot meer energieverbruik. Dit geldt zowel voor on-premises opslag als voor cloudopslag. Elke keer dat een volledige backup wordt gemaakt, neemt de hoeveelheid opgeslagen data toe, wat meer servercapaciteit en koeling vereist. Dit resulteert in een hogere ecologische voetafdruk, vooral als backups onnodig groot zijn of te vaak worden gemaakt.
Duurzaamheid kan worden bevorderd door gebruik te maken van slimme backuptechnieken zoals:

- Incrementele backups: Hierbij worden alleen de gewijzigde of nieuwe gegevens sinds de laatste backup opgeslagen, wat veel minder ruimte en energie verbruikt dan volledige backups.

- Deduplicatie: Dit proces voorkomt dat dezelfde gegevens meerdere keren worden opgeslagen, waardoor de benodigde opslagcapaciteit drastisch wordt verminderd.

- Slim retentiebeleid: Door oude en onnodige backups regelmatig te verwijderen of te archiveren, kunnen bedrijven opslag optimaliseren en energie besparen.

- En misschien wel de belangrijkste: Backup alleen de data die je écht nodig hebt. Zorg bijvoorbeeld dat je infrastructuur in code staat, zodat je daar geen backups van hoeft te maken.
","## Hoe staan we ervoor?
Wigo4it maakt alleen nog maar backups van productie data. Vroeger on-premises maakte we backups van gehele servers (vmdks) die we dan weer redundant opsloegen. Deduplicatie hadden we wel aan staan. Nu is het echter veel beter geregeld:

- Alle infrastructuur staat in code. We maken alleen nog backups van productie data. 

- De backup van de productie data wordt volgens de BIO norm óók ergens anders weggeschreven (data exit strategie)

- De afgelopen vier jaar zijn we van 140TB aan backups naar 10TB aan backups gegaan. Een daling van ruim 90%!
","## Waar kan ik hier meer over lezen?
- <a href=""https://www.wigo4it.nl/?utm=duurzaamheidsradar"">Wigo4it website</a>",,,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,3,0,0,"Bank
",C:\Users\jelle\Downloads\wiki\bank.md,"# Bank
","## Wat wordt hiermee bedoeld?
Eén van de makkelijke keuzes die je kunt maken is bij welke bank je je geld beheert. Banken investeren namelijk onder water het geld dat op spaarrekeningen staat. Van het behaalde rendement van de investeringen kunnen zij de rente die zij beloven uitbetalen aan de spaarders. Door geld neer te zetten bij banken (Rabobank, ING en ABN AMRO) die nog investeren in bijvoorbeeld de fossiele industrie, wapens of tabak steun je dat indirect ook als organisatie. Je kunt dus beter een signaal afgeven als individu of als organisatie om te kiezen voor een bank die bewust je geld investeert in een duurzamere toekomst. Voordelen om voor een duurzame bank te kiezen:

- Je geld wordt ethisch belegd en wordt niet geinvesteerd in schadelijke activiteiten.

- Je geld wordt gebruikt om initiatieven te ondersteunen die bijdragen aan een eerlijkere en duurzamere samenleving.

- Duurzame banken zijn veel transparanter waar zij jouw geld in investeren, omdat zij trots zijn op de keuzes die zij maken.

Kortom, tegen de tijd dat je iets met je spaargeld kunt doen is er nog een leefbare aarde waar je je geld ook kan uitgeven.
","## Hoe staan we ervoor?
Wigo4it heeft haar bankrekening bij de BNG (Bank Nederlandse Gemeenten). Dat is een speciale bank voor de publieke sector. Alles dat zij doen staat in het teken van maatschappelijke impact. Bij hen draait het niet om zoveel mogelijk winst, maar om maximale maatschappelijke impact. We zitten dus niet bij één van de drie grote banken die nog investeert in schadelijke activiteiten. Als individu kun je helaas niet aanmelden bij de BNG. Wel zijn er twee goede alternatieven:

- Triodos bank | Bekend om zijn focus op duurzaam en ethisch bankieren. Triodos investeert uitsluitend in projecten die positieve sociale, ecologische of culturele verandering teweegbrengen.

- ASN Bank | Richt zich volledig op duurzaam en verantwoord bankieren, met investeringen die bijdragen aan een sociale, ecologische en economische duurzaamheid. De bank vermijdt investeringen in schadelijke sectoren zoals fossiele brandstoffen en wapens, en streeft naar maximale transparantie en positieve maatschappelijke impact.

Ken jij nog andere duurzame banken? 
","## Waar kan ik hier meer over lezen?
- <a href=""https://www.bngbank.nl/over-BNG-Bank/Onze-duurzame-ontwikkelingsdoelen"">BNG Bank</a>
- <a href=""https://www.duurzaam-beleggen.nl/blog/de-impact-van-je-bankrekening/"">De impact van je bankrekening</a>
- <a href=""[Triodos Bank](https://www.triodos.nl/)"">Triodos Bank</a>
- <a href=""https://www.asnbank.nl/home.html"">ASN Bank</a>",,,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,2,0,1,"Batches
",C:\Users\jelle\Downloads\wiki\batches.md,"# Batches
","## Wat wordt hiermee bedoeld?
Batchverwerking wordt vaak gezien als iets ouderwets, maar kan aanzienlijk bijdragen aan duurzaamheid in vergelijking met realtime verwerking. Bij batchverwerking worden taken en gegevensverwerkingen gebundeld en op vooraf geplande tijden uitgevoerd, vaak tijdens daluren. Dit resulteert in een efficiënter gebruik van IT-resources en energie.

- Batchverwerking vermindert de noodzaak voor continue, hoge prestaties die nodig zijn voor realtime systemen. Hierdoor kan hardware op een lager vermogen werken, wat energie bespaart. Het optimaliseert ook servergebruik, waardoor minder fysieke servers nodig zijn en de ecologische voetafdruk wordt verkleind.

- Batchverwerking het mogelijk om verwerkingstijden te plannen op momenten dat hernieuwbare energiebronnen zoals wind- en zonne-energie overvloedig beschikbaar zijn, wat de afhankelijkheid van fossiele brandstoffen vermindert.

- Moderne batchverwerking wordt vaak uitgevoerd in de cloud, waar resources zoals CPU en opslag dynamisch kunnen worden toegewezen en afgeschakeld zodra de verwerking is voltooid

Kortom, batchverwerking biedt een energie-efficiënte en milieuvriendelijke manier om IT-processen uit te voeren, wat bijdraagt aan de duurzaamheid van organisaties.
","## Hoe staan we ervoor?
Wigo4it maakt gebruik van flink wat batches, hoe staan we ervoor:

- We zijn al flink gereduceerd qua batches. Veel zaken waren niet meer van toepassing, konden worden samengevoegd of op een nog duurzamere manier worden opgelost.

- We draaien de batches in de avond, nog niet op groene energie. We zouden de batches in potentie in regio Zweden kunnen draaien, dan draaien ze altijd op 100% groene energie (hydro power).

- Er staan geen batchservers meer 24/7 te draaien voor dat uur dat ze écht gebruikt worden.
","## Waar kan ik hier meer over lezen?
- <a href=""https://en.wikipedia.org/wiki/Batch_processing"">Batchverwerking</a>",,,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,0,2,0,"Berichtenbox
",C:\Users\jelle\Downloads\wiki\berichtenbox.md,"# Berichtenbox
","## Wat wordt hiermee bedoeld?
De Berichtenbox van de overheid is een digitale postbus waar burgers en bedrijven belangrijke berichten van overheidsinstanties veilig en overzichtelijk kunnen ontvangen. Deze berichten kunnen gaan over zaken zoals belastingen, toeslagen, zorg, pensioen, en verkeersboetes. Voordelen van de Berichtenbox: 

- In plaats van papieren post te ontvangen, kunnen gebruikers via de Berichtenbox online toegang krijgen tot hun officiële correspondentie. 

- De Berichtenbox is toegankelijk via MijnOverheid, het persoonlijke portaal van de Nederlandse overheid, en draagt bij aan een veiligere en efficiëntere communicatie tussen overheid en burger. 

- Het gebruik ervan is gratis en steeds meer overheidsinstanties maken hiervan gebruik. Alle communicatie met de overheid op één plek. 
","## Hoe staan we ervoor?
Wigo4it genereert indirect 5 miljoen brieven per jaar. Deze brieven worden uitgeprint en verzonden. Beiden zorgen voor CO2 uitstoot. Door onze brieven ook te gaan aanbieden via de Berichtenbox van de overheid is de verwachting dat we ieder jaar minder zullen hoeven printen en verzenden. Los van CO2 uitstoot van printen en verzenden, is dit ook een kostenbesparing van enkele miljoenen euro's per jaar. 
Dit staat helaas nog in de kinderschoenen en is vooralsnog een gedachtegang die op de roadmap staat. Deze moet nog verder uitgewerkt worden, maar we streven om dit vóór 2028 te hebben geregeld. Dat klinkt weer als logge en trage overheid, maar geloof ons, dat is oprecht snel anders hadden we het al lang gedaan ;-). 
","## Waar kan ik hier meer over lezen?
- <a href=""https://www.wigo4it.nl/?utm=duurzaamheidsradar"">Wigo4it website</a>
- [Berichtenbox](https://mijn.overheid.nl/)


",,,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,2,0,0,"Bouw conform je SLA
",C:\Users\jelle\Downloads\wiki\bouwConformJeSLA.md,"# Bouw conform je SLA
","## Wat wordt hiermee bedoeld?

Het bouwen volgens je Service Level Agreement (SLA) voorkomt overengineering en onnodig gebruik van resources. Bij een SLA van 99,5% is het niet noodzakelijk om een extreem hoge beschikbaarheid (Fault Tolerance) te garanderen, zoals bij vliegtuigen, waarbij alles dubbel uitgevoerd moet worden. Een oplossing met hoge beschikbaarheid (High Availability) is vergelijkbaar met een auto; je kunt downtime hebben. Als je een lekke band hebt, stop je even op de vluchtstrook, verwissel je de band en ga je weer op weg.

Het is belangrijk om te begrijpen dat een SLA van 99,5% betekent dat er een acceptabele downtime van ongeveer 3,65 uur per maand is. Dit is voldoende voor veel toepassingen. Door te bouwen volgens je SLA, kun je ervoor zorgen dat je systeem betrouwbaar is zonder onnodige gebruik van hardware en energie.

- Automatiseer alles. Zo voorkom je ([pets](wiki.html?page=pets)), oftewel systemen die handmatig beheerd moeten worden en daardoor kwetsbaar zijn voor fouten en dubbel moeten worden uitgevoerd.

- Indien je schaling gebruikt, zorg er dan voor dat deze schaalt over meerdere availability zones. Dit verhoogt de betrouwbaarheid en beschikbaarheid van je diensten, omdat het systeem bestand is tegen uitval in één enkele zone.
","## Hoe staan we ervoor?

Wij bouwen auto's geen vliegtuigen.

- Omdat wij alles hebben geautomatiseerd en binnen minuten resources ([cattle](wiki.html?page=cattle)) in de cloud opnieuw kunnen creëren, hebben wij geen twin datacenter (FT) concept meer nodig. Hiermee halveren wij het aantal gebruikte resources. Hierdoor kunnen we de betrouwbaarheid en beschikbaarheid van onze diensten garanderen en tegelijkertijd onze CO2-voetafdruk halveren.

- Bedrijfskritieke componenten worden over meerdere availability zones geschaald. Dit is niet hetzelfde als een twin datacenter, omdat we niet meer resources gebruiken, maar deze slim verdelen. 
","## Waar kan ik hier meer over lezen?
- <a href=""https://www.ibm.com/docs/en/powerha-aix/7.2?topic=aix-high-availability-versus-fault-tolerance"">High availability versus fault tolerance</a>
",,,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,0,2,0,"Carbon Aware SDK
",C:\Users\jelle\Downloads\wiki\carbonAwareSDK.md,"# Carbon Aware SDK
","## Wat wordt hiermee bedoeld?
De Carbon Aware SDK is een software development kit van de Green Software Foundation die is ontworpen om applicaties en diensten ""carbon aware"" te maken. Dit betekent dat applicaties met behulp van deze SDK hun activiteiten kunnen afstemmen op momenten en locaties waarop de CO2-uitstoot van energieproductie het laagst is. Het doel is om software en infrastructuur te helpen bij het minimaliseren van hun ecologische voetafdruk door rekening te houden met de variaties in de CO2-intensiteit van elektriciteit die wordt gebruikt door datacenters en andere IT-infrastructuren. Voordelen hiervan zijn:

- De SDK helpt bedrijven en ontwikkelaars om taken uit te voeren op momenten dat de energie die wordt gebruikt, afkomstig is van schonere energiebronnen, zoals wind- of zonne-energie. Dit draagt bij aan het optimaliseren van energieverbruik en het minimaliseren van de impact op het milieu.

- Ontwikkelaars kunnen de Carbon Aware SDK integreren in bestaande applicaties of infrastructuren zonder dat ze zelf complexe logica hoeven te ontwikkelen voor het monitoren van CO2-uitstoot. De SDK maakt het eenvoudig om duurzame functionaliteiten toe te voegen aan applicaties en infrastructuren.

- Door activiteiten uit te voeren op momenten dat de vraag naar elektriciteit laag is en de CO2-uitstoot laag, kunnen organisaties hun energiekosten verlagen. Dit komt doordat elektriciteit vaak goedkoper is tijdens daluren, wat betekent dat er niet alleen CO2 wordt bespaard, maar ook operationele kosten worden verminderd.
","## Hoe staan we ervoor?
Dit is dus gewoon een super tof initiatief en daar doen we nog helemaal niets mee. Dit is een heel mooi voorbeeld van wat we zouden kunnen doen tijdens onze FunovationDay. Dat is één dag per kwartaal waar je niet naar je PO hoeft te luisteren of naar de backlog hoef te kijken. Gewoon innovatieve dingen doen, los van wat de uitkomst is. 
","## Waar kan ik hier meer over lezen?
- <a href=""https://carbon-aware-sdk.greensoftware.foundation/"">Carbon Aware SDK</a>
- <a href=""https://github.com/Green-Software-Foundation/carbon-aware-sdk"">Carbon Aware SDK Github</a>",,,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,2,0,0,"Cattle
",C:\Users\jelle\Downloads\wiki\cattle.md,"# Cattle
","## Wat wordt hiermee bedoeld?
In de context duurzaamheid verwijst cattle naar servers die identiek zijn geconfigureerd en eenvoudig vervangen kunnen worden zonder persoonlijke aandacht d.m.v. automatiseren.

- Door servers identiek te configureren en eenvoudig te vervangen, kunnen ze gemakkelijk afgeschaald worden als de vraag af neemt.

- Omdat cattle-servers identiek zijn geconfigureerd en eenvoudig vervangen kunnen worden, is het niet nodig om individuele back-ups te maken.

- Dit model (cattle) is ideaal voor self-service omgevingen waarbij resources op aanvraag worden opgebouwd en afgebroken (Pay-As-You-Go, PAYG). Hierdoor draaien omgevingen alleen wanneer ze daadwerkelijk gebruikt worden.
","## Hoe staan we ervoor?

Alle statische componenten die cloud native draaien zijn gebaseerd op het 'cattle' -model. Dit betekent dat ze identiek zijn geconfigureerd en eenvoudig vervangen kunnen worden zonder individuele aandacht. Samenvattend kunnen we zeggen dat alleen onze database nog als ['pets'](wiki.html?page=pets) wordt behandeld, terwijl de onderliggende infrastructuur, zoals de database-server zelf, ook volgens het 'cattle' model functioneert.

- Alle infrastructurele componenten zijn gebaseerd op het cattle model en schalen op vraag. Dit zorgt voor een efficiënter gebruik van resources.

- Niet-productieomgevingen worden via self-service aangevraagd en verwijderd wanneer ze niet worden gebruikt. Dit minimaliseert onnodige resourcegebruik.

- Er wordt geen back-up meer gemaakt van infrastructurele componenten, omdat ze eenvoudig opnieuw gecreëerd kunnen worden bij een storing. Dit vermindert de opslagbehoefte.
","## Waar kan ik hier meer over lezen?
- <a href=""https://cloudscaling.com/blog/cloud-computing/the-history-of-pets-vs-cattle/"">The History of Pets vs Cattle and How to Use the Analogy Properly</a>",,,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,1,2,0,"Certification
",C:\Users\jelle\Downloads\wiki\certification.md,"# Certification
","## Wat wordt hiermee bedoeld?
Er zijn steeds meer certificeringen beschikbaar met betrekking tot duurzaamheid in relatie tot IT. Dit is waardevol omdat je daarmee kunt aantonen dat je intrinsiek gemotiveerd bent om duurzame software te schrijven of bewust om te gaan met resources. Het helpt je organisatie kosten te besparen door efficiënter om te gaan met resources en energie en het draagt bij aan hun reputatie als verantwoordelijke en toekomstgerichte bedrijf. Daarnaast verhoogt het je eigen marktwaarde, omdat de vraag naar IT-professionals die duurzame oplossingen kunnen ontwerpen, blijft groeien. Dit wordt steeds belangrijker in een wereld die zich richt op het verminderen van CO2 uitstoot. Kortom, certificeren in duurzame IT is een slimme investering in zowel je carrière als een betere planeet. De onderstaande cerficeringen zijn beschikbaar om je kennis aan te tonen:

- <a href=""https://training.linuxfoundation.org/training/green-software-for-practitioners-lfc131/"">Green Software for Practitioners</a>
- <a href=""https://plana.earth/sustainability-programmes/software-it"">Sustainability in the Software & IT industry</a>
- <a href=""https://www.unssc.org/courses/digital4sustainability-learning-path"">Digital4Sustainability learning path</a>
","## Hoe staan we ervoor?
Wij doen wel veel met het schrijven van duurzame software, greenops en efficient resourcegebruik. Echter heeft nog geen enkele collega één van deze certificaten behaald :o.

- Word jij onze eerste collega met zo'n certificaat? :)

Daarnaast kun je bij de grote cloud providers ook e-learnings volgen:

- <a href=""https://learn.microsoft.com/en-us/training/modules/sustainable-software-engineering-overview/"">The Principles of Sustainable Software Engineering (Azure)</a>
- <a href=""https://explore.skillbuilder.aws/learn/course/external/view/elearning/15981/sustainability-transformation-with-aws?trk=f5740d24-133a-44e7-bdca-e6669e296419&sc_channel=el"">Sustainability transformation with AWS</a>
- <a href=""https://cloud.google.com/architecture/framework/system-design/sustainability"">Google Cloud Sustainability</a>",,,,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,1,1,0,"CleanupFest
",C:\Users\jelle\Downloads\wiki\cleanupfest.md,"# CleanupFest
","## Wat wordt hiermee bedoeld?
Het CleanupFest is een half jaarlijks Wigo4it evenement waarbij medewerkers zich richten op het opruimen en optimaliseren van cloud resources om kosten en energieverbruik te besparen. Het doel is altijd om minimaal een besparing van €8000 per jaar (de kosten van het evenement in uren) te realiseren, wat neerkomt op een maandelijkse besparing van €667 of €22 per dag. Tijdens het evenement, dat ongeveer vier uur duurt, werken teams samen om ongebruikte of verouderde resources te identificeren en te verwijderen, zoals storage accounts, log analytics workspaces, omgevingen, resourcegroepen etc.. Het evenement heeft ook een positieve impact op de bewustwording en het gedrag van medewerkers met betrekking tot cloud-uitgaven en duurzaamheid. Voordelen van het CleanupFest:

- Collega's hebben een gezamelijk positief doel en werken in andere teamsamenstellingen.

- Het verhoogt de bewustwording onder medewerkers over het belang van het beheren van Cloud resources en de impact op kosten en milieu.

- Kennisuitwisseling over cloud management en best practices door actieve deelname aan het evenement.
","## Hoe staan we ervoor?
Wij hebben het CleanupFest tot nu twee keer uitgevoerd met verbluffende resultaten. Deze resultaten voelen wel wat dubbel, want als iedereen al een duurzaamheidsmindset had gehad, hadden we het CleanupFest niet nodig. De afdronk na twee Cleanupfests:

- We blijven dit 100% ieder half jaar doen.

- Totaal meer dan 200.000 euro bespaard. Wat neer komt 8% van onze jaarlijkse Cloud spent.

- We hebben wel is teveel weggegooid :)

- Tot nu toe alleen in Azure, de volgende keer ook CleanupFest in de Oracle Cloud. 

- Het CleanupFest krijgt veel positieve reacties op social media en zelfs al opvolging bij andere bedrijven. Dit draagt weer bij aan naamsbekendheid van Wigo4it en het willen uitstralen van een autoriteit.
","## Waar kan ik hier meer over lezen?
- <a href=""https://www.wigo4it.nl/techorama-2023/duurzame-tips/"">Wigo4it CleanupFest</a>",,,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,2,3,0,"Client server
",C:\Users\jelle\Downloads\wiki\clientServer.md,"# Client server
","## Wat wordt hiermee bedoeld?
Client-server modellen zijn gebaseerd op een centraal servermodel, waar clients (gebruikers of applicaties) verbinding maken met een specifieke server om toegang te krijgen tot data of applicaties. Dit leidt vaak tot onderbenutting van resources, omdat servers constant actief moeten blijven om verzoeken af te handelen, zelfs als er weinig gebruik wordt gemaakt van de capaciteit. Dit inefficiënt gebruik van servercapaciteit verhoogt het energieverbruik, wat resulteert in een grotere ecologische voetafdruk. Een client-server model wordt dan ook als ouderwets gezien. 

- Client-server architecturen zijn vaak moeilijk op te schalen. Het toevoegen van meer gebruikers of het vergroten van de vraag naar rekenkracht vereist vaak het aanschaffen van nieuwe hardware of het aanpassen van de infrastructuur, wat kosten en energieverspilling met zich meebrengt. Dit maakt het systeem minder flexibel dan cloud-gebaseerde oplossingen, die automatisch kunnen opschalen of afschalen afhankelijk van de vraag, waardoor energie-efficiëntie wordt verbeterd.

- Omdat client-server modellen vaak op locatie worden beheerd (on-premises), verbruiken ze doorgaans meer energie en vereisen ze meer hardware dan cloud-gebaseerde alternatieven. 

- De technologie die gebruikt wordt in client-server architecturen is vaak verouderd en niet ontworpen met moderne duurzaamheidseisen in gedachten. Nieuwe technologieën zoals cloud computing (IaaS, PaaS, SaaS) en serverless computing optimaliseren het gebruik van rekenkracht en energie, waardoor het totale energieverbruik afneemt. 

Kortom, een client-server applicatie is minder duurzaam omdat het inefficiënt omgaat met resources, moeilijker schaalbaar is en lokaal beheer vereist, wat leidt tot meer energieverbruik. Moderne cloud-gebaseerde architecturen bieden flexibele, schaalbare en energie-efficiënte oplossingen, vaak aangedreven door hernieuwbare energie, en zijn daarom veel duurzamer.
","## Hoe staan we ervoor?
Wigo4it had vroeger ook zo'n ouderwetse applicatie met een client-server model. Tijdens onze cloudreis hebben we dit allemaal omgebouwd met als resultaat:

- De gehele applicatie is nu web-based en draait op .NET 7 en 8.

- We hebben geen Citrix meer nodig, kostenbesparing van bijna een miljoen (hardware en software).

- De backend draait in AKS en alles is 100% geautomatiseerd met Terraform en pipelines. Geen losse VM's meer die we moeten beheren.
","## Waar kan ik hier meer over lezen?
- <a href=""https://www.wigo4it.nl/?utm=duurzaamheidsradar"">Wigo4it website</a>",,,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,0,2,0,"Demand Shaping
",C:\Users\jelle\Downloads\wiki\CO2Demand.md,"# Demand Shaping
","## Wat wordt hiermee bedoeld?
Eigenlijk valt deze erg samen met ['ElectricityMaps'](wiki.html?page=electricitymap). CO2 demand-driven oplossingen in de IT-sector richten zich op het minimaliseren van CO2-uitstoot door processen en infrastructuur dynamisch aan te passen aan de beschikbaarheid van duurzame energiebronnen of perioden van lagere CO2-intensiteit. Deze benadering, die ook wel carbon-aware computing wordt genoemd, stelt IT-systemen in staat om hun energieverbruik te optimaliseren op basis van de CO2-uitstoot die gepaard gaat met de elektriciteitsproductie op een bepaald moment of in een specifieke regio. Hieronder enkele voorbeelden zodat deze pagina toch nog een beetje anders is:

- Een organisatie kan besluiten om hun dagelijkse back-ups te laten draaien tijdens de middaguren wanneer zonne-energie volop beschikbaar is, in plaats van 's avonds wanneer er mogelijk meer afhankelijkheid is van fossiele brandstoffen.

- Een bedrijf kan bijvoorbeeld hun machine learning trainingstaken, die veel rekenkracht vereisen, 's nachts uitvoeren wanneer hun servers idle staan te draaien of juist overdag als het energienet meer gebruik maakt van duurzame bronnen.

- Event-driven of serverless architecturen zoals AWS Lambda of Azure Functions zijn op zichzelf al efficiënter omdat ze alleen rekenkracht gebruiken wanneer dat nodig is. Door deze modellen te combineren met CO2 demand-driven principes, kunnen taken worden uitgevoerd op de momenten waarop de energieproductie duurzamer is, wat het energieverbruik verder vermindert.
","## Hoe staan we ervoor?
 Het gaat erom dat je je workloads draait afhankelijk van de vraag en het aanbod in relatie tot groene energie. We vallen een beetje in herhaling, maar in de toekomst zouden wij graag:

- CO2 neutrale omgevingen aanbieden door deze te draaien daar waar de zon schijnt, of te compenseren met carbon credits via CarbonAPI. 

- Batches in de nacht standaard in regio Zweden laten draaien waar de stroom gewonnen wordt uit Hydro power door warmtekracht centrales.

- Niet boeiende processen laten draaien overdag op het moment dat er voldoende groene stroom is in West-Europe. Dit zodat we workloads niet in een andere regio hoeven te draaien. 
","## Waar kan ik hier meer over lezen?
- <a href=""https://watttime.org/"">WattTime</a>
- <a href=""https://app.electricitymaps.com/zone/NL"">Electricity Maps</a>",CO2Demand,wiki.html?page=CO2Demand,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,2,3,0,"CO2 Monitoring
",C:\Users\jelle\Downloads\wiki\CO2monitoring.md,"# CO2 Monitoring
","## Wat wordt hiermee bedoeld?
CO2-monitoring is een cruciaal proces voor bedrijven die hun ecologische voetafdruk willen verminderen en duurzamer willen opereren. Door het energieverbruik van IT-infrastructuren te meten en te koppelen aan CO2-uitstoot, kunnen organisaties bewuste keuzes maken over hun infrastructuur, energieverbruik optimaliseren en bijdragen aan een lagere CO2-uitstoot. Dit helpt bedrijven niet alleen om te voldoen aan regelgeving en duurzaamheidsdoelen, maar ook om hun reputatie te versterken als verantwoordelijke, milieubewuste bedrijven.

- Door CO2-uitstoot te monitoren, krijgen organisaties inzicht in hoe hun IT-activiteiten bijdragen aan hun totale ecologische voetafdruk. Dit stelt hen in staat om geïnformeerde beslissingen te nemen over het energieverbruik van hun IT-infrastructuur en manieren te vinden om hun impact te verminderen.

- Veel landen en regio's implementeren steeds strengere regelgeving met betrekking tot CO2-uitstoot en duurzaamheid. CO2-monitoring helpt bedrijven om aan deze eisen te voldoen door hun uitstoot nauwkeurig bij te houden en te rapporteren. Zie bijvoorbeeld de wetgeving rondom ['CSRD'](wiki.html?page=csrdRapportage).

- Bedrijven die hun CO2-uitstoot monitoren en actief reduceren, tonen aan dat ze verantwoordelijkheid nemen voor hun impact op het milieu. Dit kan hen een concurrentievoordeel geven, vooral omdat consumenten en partners steeds meer waarde hechten aan milieuvriendelijke bedrijfsvoering.

![alt text](wiki/carbonfootprint.png)
","## Hoe staan we ervoor?
Om heel eerlijk te zijn is het best lastig om een goede tool te vinden die je écht goede inzichten geeft. Je merkt dat de grote cloudproviders er wel mee bezig zijn, maar die zijn nog lang niet zo ver. Daarnaast lijken ze het soms wel te vertragen, omdat mede door AI de vooruitzichten minder rooskleurig zijn dan dat zij een paar jaar geleden hebben gecommuniceerd. Hoe dan ook, Wigo4it doet al wel iets met CO2 monitoring:

- We maken gebruik van Azure Carbon Optimization tool, zie hierboven.

- Wij doen er écht nog te weinig mee en hopen binnenkort aan de slag te gaan met de opensource - <a href=""https://www.cloudcarbonfootprint.org/"">Cloud Carbon Footprint</a>.

- We hebben vragen uitstaan bij Microsoft of zij ons een keer meer inzicht kunnen geven in de berekeningen van hoe de data tot stand komt. 
","## Waar kan ik hier meer over lezen?
- <a href=""https://aws.amazon.com/aws-cost-management/aws-customer-carbon-footprint-tool/"">AWS Carbon Footprint tool</a>
- <a href=""https://learn.microsoft.com/en-us/azure/carbon-optimization/overview"">Azure Carbon Optimization</a>
- <a href=""https://cloud.google.com/carbon-footprint?hl=en"">Google Cloud Carbon Footprint</a>

",CO2monitoring,wiki.html?page=CO2monitoring,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,0,0,0,"Containerization
",C:\Users\jelle\Downloads\wiki\containerization.md,"# Containerization
","## Wat wordt hiermee bedoeld?
Containerization is een techniek in softwareontwikkeling waarbij applicaties worden verpakt samen met hun afhankelijkheden in containers. Deze containers zijn lichte, geïsoleerde omgevingen die kunnen draaien op dezelfde host of virtuele machine (VM), maar zijn veel efficiënter dan VM’s. Containers zijn geïsoleerd van elkaar, waardoor ze onafhankelijk kunnen werken, maar delen de kern van het besturingssysteem. Dit maakt ze flexibeler en efficiënter in termen van resources en energieverbruik.

- Containers draaien allemaal op dezelfde OS-kernel, wat betekent dat je geen extra besturingssystemen hoeft te laden en dat er minder overhead is. Dit leidt tot efficiënter gebruik van de fysieke of virtuele hardware.

- Containers kunnen bijna onmiddellijk worden gestart, terwijl VM's langer nodig hebben om hun besturingssysteem en processen op te starten. Deze snellere opstarttijd vermindert het energieverbruik en zorgt ervoor dat applicaties sneller beschikbaar zijn, wat zowel operationeel als milieuvriendelijker is.

- Omdat containers lichter zijn en minder resources verbruiken, kunnen ze gemakkelijker in grootschalige omgevingen worden ingezet. Dit betekent dat datacenters efficiënter kunnen worden gebruikt, waardoor er minder fysieke servers nodig zijn om dezelfde hoeveelheid werk te verrichten. Minder servers betekent minder energieverbruik voor zowel het draaien van de servers als voor koeling in het datacenter.

- Containers kunnen gemakkelijk worden opgeschaald of afgeschaald op basis van de vraag. Dit betekent dat je inactieve containers kunt uitschakelen en zo energie kunt besparen. In VM-gebaseerde omgevingen is het veel moeilijker om resources flexibel aan te passen zonder grote overhead.
","## Hoe staan we ervoor?
Vroeger had Wigo4it meer dan 1000 servers 24/7, 365 dagen per week draaien in het datacenter. Zonde van alle energie, idle time, hardware aanschaf etc. Inmiddels hebben we nauwelijks meer VM's en maken we gebruik van onderstaande diensten die gebaseerd zijn op containerization:

- Azure Kubernetes Service

- WebApps

- Appservices
","## Waar kan ik hier meer over lezen?
- <a href=""https://en.wikipedia.org/wiki/Containerization_(computing)"">Containerization</a>",,,,,,,unknown,onbekend
